net,length_um
U_TOP.U_RAM.seq\[0\],42.68µm
_0729_,42.67µm
_1226_,42.62µm
_1740_,42.62µm
U_TOP.U_CACHE.dm_hit_dphase,42.4µm
U_TOP.U_UART.U_SASC_TOP.rx_fifo.din\[4\],42.38µm
U_TOP.U_CACHE.dc_d0\[15\],42.3µm
U_TOP.U_CACHE.dc_d1\[11\],42.27µm
U_TOP.U_CACHE.dc_d0\[29\],42.22µm
U_TOP.U_UART.BRG.br_cnt\[3\],42.18µm
_1807_,42.1µm
_1382_,42.06µm
_2540_,42.06µm
_0797_,42.04µm
net350,42.02µm
U_TOP.U_CACHE.dc_a1\[2\],41.98µm
_0725_,41.88µm
_1527_,41.78µm
U_TOP.U_CPU.ir_data\[3\],41.66µm
net40,41.6µm
U_TOP.U_UART.U_SASC_TOP.rxd_s,41.5µm
U_TOP.U_UART.BRG.ps\[4\],41.46µm
_1164_,41.4µm
U_TOP.U_CACHE.dc_d0\[22\],41.24µm
_0989_,41.24µm
U_TOP.U_CACHE.ic_a1\[10\],41.16µm
_1165_,41.06µm
U_TOP.U_CACHE.dc_d1\[26\],41.04µm
_0966_,40.94µm
U_TOP.U_UART.U_SASC_TOP.din_i\[4\],40.62µm
_1411_,40.56µm
_2513_,40.48µm
_1130_,40.38µm
U_TOP.U_CACHE.dc_d1\[18\],40.34µm
_0969_,40.22µm
net218,40.2µm
_0815_,40.18µm
_1414_,40.16µm
U_TOP.U_UART.U_SASC_TOP.din_i\[5\],40.155µm
_1273_,40.12µm
U_TOP.U_CACHE.ic_d0\[17\],39.86µm
U_TOP.U_CACHE.dc_a0\[1\],39.72µm
_1132_,39.68µm
U_TOP.U_CACHE.dc_d0\[3\],39.62µm
net89,39.58µm
U_TOP.U_CACHE.ic_v2,39.57µm
_1575_,39.54µm
U_TOP.U_CACHE.ic_a1\[0\],39.42µm
_2333_,39.4µm
_1942_,39.04µm
U_TOP.U_CACHE.ic_a3\[5\],39.03µm
net295,39.03µm
net91,39µm
_0693_,38.86µm
_1739_,38.85µm
_2523_,38.84µm
_1299_,38.78µm
_0884_,38.73µm
_1656_,38.66µm
U_TOP.U_UART.U_SASC_TOP.rx_fifo.din\[7\],38.6µm
net346,38.42µm
_1799_,38.32µm
_1294_,38.22µm
net338,38.2µm
_0783_,38.16µm
_0786_,38.13µm
_1285_,38.12µm
_0766_,38.09µm
_2375_,38.08µm
U_TOP.U_CACHE.ic_a3\[4\],38.03µm
net157,38.015µm
_2631_,37.82µm
U_TOP.U_CACHE.dm_mis_dphase_wdata\[2\],37.73µm
_1427_,37.7µm
net343,37.7µm
U_TOP.U_UART.U_SASC_TOP.shift_en,37.56µm
_0737_,37.56µm
_0738_,37.54µm
U_TOP.U_CACHE.if_mis_dphase_addr\[3\],37.48µm
