Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_68_544,VPWR,li1,253.2300,190.4000,1.799996
FILLER_68_504,VPWR,li1,234.8300,190.4000,1.799991
FILLER_68_477,VPWR,li1,223.1000,190.4000,1.799993
FILLER_68_442,VPWR,li1,206.7700,190.4000,1.799997
FILLER_68_438,VPWR,li1,204.7000,190.4000,1.799997
FILLER_68_429,VPWR,li1,200.3300,190.4000,1.799997
FILLER_68_419,VPWR,li1,195.7300,190.4000,1.799997
FILLER_68_410,VPWR,li1,191.5900,190.4000,1.799998
FILLER_68_384,VPWR,li1,179.6300,190.4000,1.799998
FILLER_68_379,VPWR,li1,177.3300,190.4000,1.799999
FILLER_68_371,VPWR,li1,175.2600,190.4000,1.799999
FILLER_68_363,VPWR,li1,169.9700,190.4000,1.799999
FILLER_68_300,VPWR,li1,140.9900,190.4000,1.799998
FILLER_68_251,VPWR,li1,118.4500,190.4000,1.799998
FILLER_68_235,VPWR,li1,111.0900,190.4000,1.799998
FILLER_68_188,VPWR,li1,91.0800,190.4000,1.799999
FILLER_68_147,VPWR,li1,70.6100,190.4000,1.799998
FILLER_68_141,VPWR,li1,69.0000,190.4000,1.799998
FILLER_68_136,VPWR,li1,66.2400,190.4000,1.799998
FILLER_68_101,VPWR,li1,49.9100,190.4000,1.799998
FILLER_68_92,VPWR,li1,45.3100,190.4000,1.799998
FILLER_68_85,VPWR,li1,42.3200,190.4000,1.799998
FILLER_68_82,VPWR,li1,40.9400,190.4000,1.799998
FILLER_68_70,VPWR,li1,37.7200,190.4000,1.799998
FILLER_68_46,VPWR,li1,24.1500,190.4000,1.799999
FILLER_68_36,VPWR,li1,19.5500,190.4000,1.799999
FILLER_68_7,VPWR,li1,6.2100,190.4000,1.799998
FILLER_68_3,VPWR,li1,5.0600,190.4000,1.799998
FILLER_67_671,VPWR,li1,311.6500,184.9600,1.799998
FILLER_67_623,VPWR,li1,289.5700,184.9600,1.799998
FILLER_67_615,VPWR,li1,285.8900,184.9600,1.799998
FILLER_67_567,VPWR,li1,263.8100,184.9600,1.799998
FILLER_67_559,VPWR,li1,260.1300,184.9600,1.799998
FILLER_67_515,VPWR,li1,239.8900,184.9600,1.799997
FILLER_67_427,VPWR,li1,199.8700,184.9600,1.799998
FILLER_67_405,VPWR,li1,189.2900,184.9600,1.799998
FILLER_67_387,VPWR,li1,181.0100,184.9600,1.799999
FILLER_67_381,VPWR,li1,179.4000,184.9600,1.799999
FILLER_67_279,VPWR,li1,131.3300,184.9600,1.799999
FILLER_67_235,VPWR,li1,111.0900,184.9600,1.799999
FILLER_67_223,VPWR,li1,105.5700,184.9600,1.799998
FILLER_67_179,VPWR,li1,86.0200,184.9600,1.799997
FILLER_67_147,VPWR,li1,70.6100,184.9600,1.799997
FILLER_67_143,VPWR,li1,69.4600,184.9600,1.799997
FILLER_67_113,VPWR,li1,55.6600,184.9600,1.799997
FILLER_67_103,VPWR,li1,50.3700,184.9600,1.799996
FILLER_67_99,VPWR,li1,49.2200,184.9600,1.799996
FILLER_67_80,VPWR,li1,39.7900,184.9600,1.799994
FILLER_67_74,VPWR,li1,38.1800,184.9600,1.799994
FILLER_67_62,VPWR,li1,34.0400,184.9600,1.799994
FILLER_67_57,VPWR,li1,29.6700,184.9600,1.799993
FILLER_67_54,VPWR,li1,28.0600,184.9600,1.799993
FILLER_67_31,VPWR,li1,17.7100,184.9600,1.799996
FILLER_67_7,VPWR,li1,6.2100,184.9600,1.799995
FILLER_67_3,VPWR,li1,5.0600,184.9600,1.799995
FILLER_66_699,VPWR,li1,324.5300,184.9600,1.799999
FILLER_66_669,VPWR,li1,310.7300,184.9600,1.799998
FILLER_66_643,VPWR,li1,298.7700,184.9600,1.799998
FILLER_66_616,VPWR,li1,286.3500,184.9600,1.799998
FILLER_66_587,VPWR,li1,273.0100,184.9600,1.799998
FILLER_66_564,VPWR,li1,262.4300,184.9600,1.799998
FILLER_66_517,VPWR,li1,240.8100,184.9600,1.799997
FILLER_66_475,VPWR,li1,221.4900,184.9600,1.799997
FILLER_66_463,VPWR,li1,215.9700,184.9600,1.799998
FILLER_66_439,VPWR,li1,204.9300,184.9600,1.799998
FILLER_66_384,VPWR,li1,179.6300,184.9600,1.799999
FILLER_66_372,VPWR,li1,176.6400,184.9600,1.799999
FILLER_66_363,VPWR,li1,169.9700,184.9600,1.799999
FILLER_66_353,VPWR,li1,166.9800,184.9600,1.799999
FILLER_66_347,VPWR,li1,162.6100,184.9600,1.799999
FILLER_66_341,VPWR,li1,161.0000,184.9600,1.799999
FILLER_66_316,VPWR,li1,148.3500,184.9600,1.799999
FILLER_66_292,VPWR,li1,137.3100,184.9600,1.799999
FILLER_66_253,VPWR,li1,119.8300,184.9600,1.799999
FILLER_66_244,VPWR,li1,116.8400,184.9600,1.799999
FILLER_66_197,VPWR,li1,94.7600,184.9600,1.799998
FILLER_66_192,VPWR,li1,92.0000,184.9600,1.799997
FILLER_66_186,VPWR,li1,88.5500,184.9600,1.799997
FILLER_66_167,VPWR,li1,79.8100,184.9600,1.799996
FILLER_66_141,VPWR,li1,69.0000,184.9600,1.799997
FILLER_66_104,VPWR,li1,50.8300,184.9600,1.799996
FILLER_66_100,VPWR,li1,49.6800,184.9600,1.799996
FILLER_66_83,VPWR,li1,41.1700,184.9600,1.799995
FILLER_66_57,VPWR,li1,29.2100,184.9600,1.799993
FILLER_66_29,VPWR,li1,17.4800,184.9600,1.799996
FILLER_65_653,VPWR,li1,303.3700,179.5200,1.799992
FILLER_65_615,VPWR,li1,285.8900,179.5200,1.799995
FILLER_65_561,VPWR,li1,261.0500,179.5200,1.799996
FILLER_65_559,VPWR,li1,260.1300,179.5200,1.799996
FILLER_65_534,VPWR,li1,248.6300,179.5200,1.799998
FILLER_65_507,VPWR,li1,236.2100,179.5200,1.799998
FILLER_65_503,VPWR,li1,234.3700,179.5200,1.799998
FILLER_65_486,VPWR,li1,227.2400,179.5200,1.799998
FILLER_65_466,VPWR,li1,217.3500,179.5200,1.799999
FILLER_65_447,VPWR,li1,208.6100,179.5200,1.799998
FILLER_65_383,VPWR,li1,179.1700,179.5200,1.799998
FILLER_65_353,VPWR,li1,165.3700,179.5200,1.799997
FILLER_65_349,VPWR,li1,164.2200,179.5200,1.799997
FILLER_65_339,VPWR,li1,159.6200,179.5200,1.799996
FILLER_65_335,VPWR,li1,157.0900,179.5200,1.799996
FILLER_65_324,VPWR,li1,152.0300,179.5200,1.799995
FILLER_65_277,VPWR,li1,130.4100,179.5200,1.799996
FILLER_65_252,VPWR,li1,118.9100,179.5200,1.799996
FILLER_65_248,VPWR,li1,117.7600,179.5200,1.799996
